M333 — Mapa 33.3  [1GAT · Sage Gestao de Ativos]

Keys / Indices:
  LINHA [primary, unique]: LINHA+ANO

Columns (24):
  ANO      Integer    
  CAMPO01  Text(4)    Campo01
  CAMPO02  Text(102)  Campo02
  CAMPO03  Integer    Campo03
  CAMPO04  Integer    Campo04
  CAMPO05  Currency   Campo05
  CAMPO06  Currency   Campo06
  CAMPO07  Integer    Campo07
  CAMPO08  Integer    Campo08
  CAMPO09  Integer    Campo09
  CAMPO10  Double     Campo10
  CAMPO11  Currency   Campo11
  CAMPO12  Double     Campo12
  CAMPO13  Currency   Campo13
  CAMPO14  Currency   Campo14
  CAMPO15  Currency   Campo15
  CAMPO16  Double     Campo16
  LINHA    Long       Linha
  OBS      Text(50)   Obs
  PAGINA   Integer    PAGINA
  PROV     Integer    prov
  STATUS   Integer    Status
  TIPOIMO  Integer    TIPOIMO
  TITULO   Text(50)   TITULO
